Date,open,high,low,close,volumn,amt,avgprice,preClose,return,Turnover,PB,PE,Market,AvgMarket,AmountPCT,Dividend
2000/3/16,1439.31,1453.42,1369.27,1402.56,41000000,645000000,17.19,1450.1,-0.0328,0.0205,5.82,52.81,338.02,12.07,0.0236,0.0033
2000/3/17,1394.91,1453.19,1381.84,1444.13,41000000,600000000,17.74,1402.56,0.0296,0.0208,6.01,54.5,347.94,12.43,0.022,0.0032
2000/3/20,1432.86,1491.61,1407.23,1476.28,62000000,878000000,18.09,1444.13,0.0223,0.0311,6.13,55.74,355.65,12.7,0.026,0.0032
2000/3/21,1474.6,1507.31,1443.22,1484.09,68000000,992000000,18.16,1476.28,0.0053,0.034,6.17,56.1,357.53,12.77,0.0278,0.0032
2000/3/22,1486.43,1520.07,1438.58,1490.19,48000000,839000000,18.22,1484.09,0.0041,0.0242,6.2,56.36,358.93,12.82,0.0245,0.0031
2000/3/23,1496.88,1534.89,1459.59,1510.84,62000000,984000000,18.46,1490.19,0.0139,0.0311,6.23,57.08,363.93,13,0.0271,0.0031
2000/3/24,1516.08,1549.71,1468.86,1493.61,72000000,1169000000,18.3,1510.84,-0.0114,0.0362,6.18,56.55,359.83,12.85,0.0258,0.0031
2000/3/27,1486.77,1546.59,1466.08,1523.32,69000000,1096000000,18.66,1493.61,0.0199,0.0346,6.3,57.64,366.98,13.11,0.0261,0.003
2000/3/28,1532.94,1576.82,1491.69,1544.13,94000000,1412000000,18.96,1523.32,0.0137,0.0471,6.36,58.22,371.91,13.28,0.0308,0.003
2000/3/29,1547.67,1575.19,1491.59,1537.14,76000000,1223000000,18.97,1544.13,-0.0045,0.0382,6.33,57.88,370.21,13.22,0.0316,0.003
2000/3/30,1538.54,1566.72,1511.16,1540.48,56000000,876000000,19.13,1537.14,0.0022,0.0284,6.36,58.07,371.01,13.25,0.0245,0.003
2000/3/31,1537.83,1563.98,1502.9,1537.94,58000000,863000000,19.21,1540.48,-0.0016,0.0291,6.34,57.93,370.35,13.23,0.0231,0.003
2000/4/3,1534.95,1559.5,1503.19,1522.13,43000000,637000000,19.02,1537.94,-0.0103,0.0218,6.26,57.28,366.51,13.09,0.0183,0.003
2000/4/4,1516.97,1538.59,1476.6,1507.87,57000000,877000000,18.8,1522.13,-0.0094,0.0285,6.2,56.83,363.03,12.97,0.0301,0.0031
2000/4/5,1505.08,1539.32,1480.26,1518.92,42000000,595000000,18.87,1507.87,0.0073,0.021,6.25,57.24,365.75,13.06,0.0245,0.003
2000/4/6,1519.4,1548.8,1507.98,1541.46,40000000,586000000,19.15,1518.92,0.0148,0.0201,6.35,58.16,371.19,13.26,0.0197,0.003
2000/4/7,1551.43,1591.77,1530.68,1569.14,58000000,1021000000,19.41,1541.46,0.018,0.0294,6.52,59.14,377.78,13.49,0.0298,0.003
2000/4/10,1559.53,1589.56,1526.44,1557.76,53000000,815000000,19.3,1569.14,-0.0073,0.0266,6.51,58.79,374.97,13.39,0.024,0.003
